family_group|ssn_hash|vendor_member_key|given_name|surname|birth_dt|street|town|province|postal|relation|med_plan|tier|active_flag|audit_source_system|audit_load_ts
FAM1020|SSNE73002383C00|VB-D1020-01|Hila|Nissan|20110704|7 Arlozorov|Tel Aviv|TA|6100001|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1021|SSNC474F6EE1C0A|VB-E1021|Shira|Green|19811119|32 Arlozorov|Petah Tikva|PT|4950007|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1021|SSN2DF8C7110877|VB-S1021|Eli|Green|19710422|32 Arlozorov|Petah Tikva|PT|4950007|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1022|SSN7E232A2B8A49|VB-E1022|Sam|Hazan|19740811|41 Ben Yehuda|Netanya|NT|4230008|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1022|SSN802B6A78DD0E|VB-D1022-01|Lior|Hazan|20090115|41 Ben Yehuda|Netanya|NT|4230008|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1023|SSN898CDE413148|VB-E1023|Omar|Nissan|19710312|73 Jaffa Rd|Petah Tikva|PT|4950007|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1023|SSN2447E904C41B|VB-D1023-01|Matan|Nissan|20110610|73 Jaffa Rd|Petah Tikva|PT|4950007|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1024|SSNA4E7B6D957BE|VB-E1024|Shira|Hazan|19880122|57 Ibn Gabirol|Jerusalem|JM|9100002|employee|STANDARD|basic|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1024|SSN34A33D25AB09|VB-D1024-01|Rina|Hazan|20090309|57 Ibn Gabirol|Jerusalem|JM|9100002|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1025|SSN11E5718DD012|VB-E1025|Rina|Gold|19681211|14 Ibn Gabirol|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1025|SSNE202564D2B24|VB-S1025|Idan|Gold|19710916|14 Ibn Gabirol|Tel Aviv|TA|6100001|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1025|SSNB0FDDA789C19|VB-D1025-01|Adam|Gold|20080221|14 Ibn Gabirol|Tel Aviv|TA|6100001|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1026|SSNED79C032A70B|VB-E1026|Gadi|Shapiro|20120324|36 Herzl St|Rishon LeZion|RL|7530006|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1026|SSN69F487BD2FD5|VB-S1026|Tomer|Shapiro|19820901|36 Herzl St|Rishon LeZion|RL|7530006|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1027|SSN4E5CE0CDCBC4|VB-E1027|Sarah|Adler|19920905|10 Dizengoff|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1027|SSNEDE89FE2516B|VB-D1027-01|David|Adler|20080607|10 Dizengoff|Tel Aviv|TA|6100001|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1027|SSN39F9447A8691|VB-D1027-02|Hila|Adler|20111104|10 Dizengoff|Tel Aviv|TA|6100001|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1027|SSNC4342AD8B5B8|VB-D1027-03|Dan|Adler|20160720|10 Dizengoff|Tel Aviv|TA|6100001|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1029|SSN89233F624E70|VB-E1029|Yoni|Haddad|19790128|53 Ben Yehuda|Haifa|HA|3320004|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1029|SSNA9528D0CC80B|VB-S1029|Omar|Haddad|20070812|53 Ben Yehuda|Haifa|HA|3320004|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1030|SSN525B96825703|VB-E1030|Omar|Azulai|19760528|30 Ben Yehuda|Haifa|HA|3320004|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1030|SSND07F43C11651|VB-S1030|Gadi|Azulai|19720621|30 Ben Yehuda|Haifa|HA|3320004|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1030|SSN12281069F373|VB-D1030-01|Tal|Azulai|20141127|30 Ben Yehuda|Haifa|HA|3320004|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1031|SSNED13C4B1839E|VB-E1031|Adam|Mizrahi|19920502|43 Herzl St|Petah Tikva|PT|4950007|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1031|SSN0326EA7A530F|VB-S1031|Nina|Mizrahi|19771226|43 Herzl St|Petah Tikva|PT|4950007|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1032|SSNE0F4E17E3D3D|VB-E1032|Maya|Azulai|19910409|56 Arlozorov|Haifa|HA|3320004|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1032|SSNF446C8FF36FA|VB-S1032|Nina|Azulai|19550926|56 Arlozorov|Haifa|HA|3320004|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1032|SSN30590BBE1058|VB-D1032-01|Ron|Azulai|20110614|56 Arlozorov|Haifa|HA|3320004|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1033|SSN46C553C1CCBE|VB-E1033|Hila|Haddad|20010517|86 Allenby|Tel Aviv|TA|6100001|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1033|SSNCEB2D37B42A1|VB-S1033|Nina|Haddad|19750723|86 Allenby|Tel Aviv|TA|6100001|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1034|SSN94C20F066B18|VB-E1034|Hila|Azulai|19981206|71 Dizengoff|Haifa|HA|3320004|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1034|SSN37499270093D|VB-S1034|Rina|Azulai|19800927|71 Dizengoff|Haifa|HA|3320004|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1035|SSN143B2CFBC9C7|VB-S1035|Yoni|Ben-David|20051206|75 Arlozorov|Rishon LeZion|RL|7530006|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1035|SSNA79220A038FD|VB-D1035-01|Hila|Ben-David|20090517|75 Arlozorov|Rishon LeZion|RL|7530006|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1036|SSND3AF7AA342EF|VB-E1036|Sarah|Kaplan|19980508|82 Arlozorov|Netanya|NT|4230008|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1036|SSNBF3AB84C1E57|VB-D1036-01|Sam|Kaplan|20080108|82 Arlozorov|Netanya|NT|4230008|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1036|SSN9DB8DEE41B2E|VB-D1036-02|Yael|Kaplan|20090814|82 Arlozorov|Netanya|NT|4230008|dependent|STANDARD|basic|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1037|SSNE3BC8F7F163F|VB-E1037|Leah|Golan|19800405|74 Ben Yehuda|Netanya|NT|4230008|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1037|SSN05E929AE5C15|VB-S1037|Ava|Golan|20030225|74 Ben Yehuda|Netanya|NT|4230008|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1038|SSNCC4E591EDD84|VB-E1038|Tomer|Nissan|19840118|29 Dizengoff|Rishon LeZion|RL|7530006|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1038|SSN64F26A6CFD4B|VB-S1038|David|Nissan|19620805|29 Dizengoff|Rishon LeZion|RL|7530006|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1038|SSNDF1D08C751AB|VB-D1038-01|Yoni|Nissan|20151117|29 Dizengoff|Rishon LeZion|RL|7530006|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1038|SSN04F6D2AED80A|VB-D1038-02|Ron|Nissan|20130820|29 Dizengoff|Rishon LeZion|RL|7530006|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1038|SSNDE1FEFAB85D2|VB-D1038-03|Sarah|Nissan|20160727|29 Dizengoff|Rishon LeZion|RL|7530006|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1039|SSN845F6C4E6515|VB-S1039|Gadi|Ben-David|20040916|58 Dizengoff|Petah Tikva|PT|4950007|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1039|SSN332EBFD3F3D5|VB-D1039-01|Idan|Ben-David|20110515|58 Dizengoff|Petah Tikva|PT|4950007|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1040|SSNB398C71B53D0|VB-E1040|Eli|Katz|19890205|92 HaNassi|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1040|SSN505D0385C8F2|VB-S1040|Leah|Katz|19990323|92 HaNassi|Tel Aviv|TA|6100001|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1041|SSN062C6E1A0196|VB-E1041|Gadi|Berkowitz|19990128|27 King George|Tel Aviv|TA|6100001|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1042|SSN588C73E58ED7|VB-E1042|Dan|Friedman|20140718|49 Rothschild|Petah Tikva|PT|4950007|employee|ULTRA|premium|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1042|SSN1CA815BA3774|VB-D1042-01|Ron|Friedman|20110808|49 Rothschild|Petah Tikva|PT|4950007|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1043|SSNF5253C7B19D1|VB-E1043|Eli|Azulai|20010327|56 Rothschild|Haifa|HA|3320004|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1043|SSNECA5E59B6F8B|VB-S1043|Sam|Azulai|19940901|56 Rothschild|Haifa|HA|3320004|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1043|SSND90DFBD05103|VB-D1043-02|Hila|Azulai|20080221|56 Rothschild|Haifa|HA|3320004|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1043|SSN1552B9718817|VB-D1043-03|Nina|Azulai|20100806|56 Rothschild|Haifa|HA|3320004|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1044|SSN6765057B214B|VB-E1044|Itai|Katz|19760709|34 King George|Tel Aviv|TA|6100001|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1045|SSN137A9A17C966|VB-E1045|Iris|Weiss|19580608|33 Jaffa Rd|Rishon LeZion|RL|7530006|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1045|SSN7C5D400B7348|VB-S1045|Gadi|Weiss|19960125|33 Jaffa Rd|Rishon LeZion|RL|7530006|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1045|SSN1EACA41347FC|VB-D1045-01|Ava|Weiss|20110427|33 Jaffa Rd|Rishon LeZion|RL|7530006|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1045|SSNB8520C5826EA|VB-D1045-02|Ava|Weiss|20100405|33 Jaffa Rd|Rishon LeZion|RL|7530006|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1045|SSN45CE273FB7C4|VB-D1045-03|Yael|Weiss|20091007|33 Jaffa Rd|Rishon LeZion|RL|7530006|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1046|SSNA4C8C340D3E7|VB-E1046|Zoe|Gold|19931223|90 HaNassi|Rishon LeZion|RL|7530006|employee|STANDARD|basic|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1046|SSN8A4816532B7A|VB-S1046|Sarah|Gold|19650504|90 HaNassi|Rishon LeZion|RL|7530006|spouse|BASIC_PLUS|premium|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1046|SSN6433971EFE48|VB-D1046-01|Nadav|Gold|20080519|90 HaNassi|Rishon LeZion|RL|7530006|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1047|SSN844278A3509F|VB-E1047|Omar|Green|19921227|49 King George|Netanya|NT|4230008|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1047|SSNC6675DB3B15A|VB-S1047|Maya|Green|19990528|49 King George|Netanya|NT|4230008|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1047|SSND81AB65ADF4C|VB-D1047-01|Hila|Green|20091026|49 King George|Netanya|NT|4230008|dependent|STANDARD|basic|false|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1048|SSNCF45B96AB2C5|VB-E1048|Dan|Green|19871111|45 Ibn Gabirol|Tel Aviv|TA|6100001|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1048|SSNB035BC59E5D6|VB-S1048|Nina|Green|20070804|45 Ibn Gabirol|Tel Aviv|TA|6100001|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1049|SSN02557829500D|VB-E1049|Nina|Mizrahi|20010921|47 Rothschild|Rishon LeZion|RL|7530006|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1049|SSN14DC08A1BD65|VB-S1049|Yoni|Mizrahi|19890815|47 Rothschild|Rishon LeZion|RL|7530006|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1050|SSN10721277B654|VB-E1050|David|Kaplan|19600515|94 Arlozorov|Rishon LeZion|RL|7530006|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1050|SSN27C01D04EF1A|VB-S1050|Itai|Kaplan|19911022|94 Arlozorov|Rishon LeZion|RL|7530006|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1050|SSND1FD4C96B00A|VB-D1050-01|Leah|Kaplan|20130116|94 Arlozorov|Rishon LeZion|RL|7530006|dependent|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1051|SSND2ED47366D30|VB-E1051|Yoni|Baron|19760520|24 Rothschild|Haifa|HA|3320004|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1051|SSN92D9463CB893|VB-D1051-01|Adam|Baron|20160117|24 Rothschild|Haifa|HA|3320004|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1051|SSNFCBFD1D68951|VB-D1051-02|Omar|Baron|20090424|24 Rothschild|Haifa|HA|3320004|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1052|SSNFAA3E02F6595|VB-E1052|Tomer|Golan|19961216|63 Ibn Gabirol|Rishon LeZion|RL|7530006|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1052|SSN7E9882F578BD|VB-S1052|Ava|Golan|19600508|63 Ibn Gabirol|Rishon LeZion|RL|7530006|spouse|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1052|SSNC8E05B9B7C4D|VB-D1052-01|Leah|Golan|20110522|63 Ibn Gabirol|Rishon LeZion|RL|7530006|dependent|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1052|SSNE56D8200A7AA|VB-D1052-02|Nadav|Golan|20130818|63 Ibn Gabirol|Rishon LeZion|RL|7530006|dependent|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1053|SSN2C87A017F28D|VB-E1053|Ron|Katz|19771215|45 King George|Petah Tikva|PT|4950007|employee|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1053|SSND397E886E1CC|VB-S1053|Adam|Katz|19690224|45 King George|Petah Tikva|PT|4950007|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1054|SSNBD8DE4C7C2B9|VB-E1054|Gadi|Mizrahi|19670424|41 Jaffa Rd|Jerusalem|JM|9100002|employee|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1054|SSN114EF5309A1E|VB-S1054|Iris|Mizrahi|19920920|41 Jaffa Rd|Jerusalem|JM|9100002|spouse|ULTRA|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1055|SSN097BDD1A177E|VB-E1055|Dan|Mizrahi|19740123|13 Ben Yehuda|Haifa|HA|3320004|employee|BASIC_PLUS|premium|true|VENDOR_B_CORE|2025-12-01T12:00:00
FAM1055|SSN760CFE60CF34|VB-S1055|Adam|Mizrahi|19570118|13 Ben Yehuda|Haifa|HA|3320004|spouse|STANDARD|basic|true|VENDOR_B_CORE|2025-12-01T12:00:00
